"Note_Id"	"Prompt"	"Prompt_Raw"	"SAS_Show_Prompt"	"SAS_Prompt"	"SAS_Prompt_Raw"	"SAS1"	"SAS1_Raw"	"SAS2"	"SAS2_Raw"	"SAS_Refs"	"SAS_Refs_Raw"	"SAS_Cat"	"R_Prompt"	"R_Prompt_Raw"	"R1"	"R1_Raw"	"R2"	"R2_Raw"	"R_Cat"	"R_vs_SAS"	"R_vs_SAS_Raw"	"Tags"
"DS004744"	"Change the parameterization used for a factor."	"Change the parameterization used for a factor."	""	"Change the parameterization used for a categorical variable."	"Change the parameterization used for a categorical variable."	"Use a CLASS statement with the PARAM option set either for a specific variable. or after <font class=dscode>/</font> to apply to all variables.<br><br><font class=dscode>CLASS agegrp (REF=FIRST) sex (REF=LAST);</font><br><font class=dscode>CLASS agegrp sex / REF=FIRST;</font>"	"Use a CLASS statement with the PARAM option set either for a specific variable. or after `/` to apply to all variables.

`CLASS agegrp (REF=FIRST) sex (REF=LAST);`
`CLASS agegrp sex / REF=FIRST;`"	""	""	""	""	"base"	""	""	"The modeling function might have a <font class=dscode>contrasts</font> argument, e.g., <font class=dscode>lm</font> has one, but <font class=dscode>coxph</font> does not.<br><br>The <font class=dscode>contrasts&lt;-</font> function can be used to assign a contrast to a variable in a data frame (or vector).<br><br><font class=dscode>contrasts(df$agegrp) &lt;- contr.treatment(4, base=2)</font> - if agegrp is a factor with 4 levels, uses the second level as the reference group (default)<br><font class=dscode>contrasts(df$agegrp) &lt;- contr.SAS</font> - uses reference group coding with the last factor as the default (which is the default behavior in SAS® software)<br>"	"The modeling function might have a `contrasts` argument, e.g., `lm` has one, but `coxph` does not.

The `contrasts<-` function can be used to assign a contrast to a variable in a data frame (or vector).

`contrasts(df$agegrp) <- contr.treatment(4, base=2)` - if agegrp is a factor with 4 levels, uses the second level as the reference group (default)
`contrasts(df$agegrp) <- contr.SAS` - uses reference group coding with the last factor as the default (which is the default behavior in SAS® software)
"	""	""	"base"	""	""	"R_include SAS_include R_base SAS_base"
"DS005842"	"Import an external package (but do not necessarily execute anything in the package)."	"Import an external package (but do not necessarily execute anything in the package)."	"Y"	""	""	""	""	""	""	""	""	"XX"	""	""	"<font class=dscode>library(packagename)</font>"	"`library(packagename)`"	""	""	"base"	""	""	"R_include R_base SAS_XX"
"DS011960"	"Is there an increment function?"	"Is there an increment function?"	"Y"	""	""	"Yes, but note SAS considers this to be a statement. The below code increments <font class=dscode>total</font> by <font class=dscode>x</font> each time the code is reached.<br><font class=dscode> total + x;</font><br><br>Note that <font class=dscode>total</font> behaves as if it were in a <font class=dscode>RETAIN</font> statement and is initialized to 0 in the first data step."	"Yes, but note SAS considers this to be a statement. The below code increments `total` by `x` each time the code is reached.
` total + x;`

Note that `total` behaves as if it were in a `RETAIN` statement and is initialized to 0 in the first data step."	""	""	""	""	"base"	""	""	"No. Increment as <font class=dscode>x &lt;- x + 1</font>"	"No. Increment as `x <- x + 1`"	""	""	"base"	""	""	"R_include SAS_include R_base SAS_base"
"DS014053"	"Add spline terms to a model."	"Add spline terms to a model."	"Y"	"What PROCs support adding splines without you needing to calculate the basis yourself. If you need to calculate the basis yourself, what PROC to use?"	"What PROCs support adding splines without you needing to calculate the basis yourself. If you need to calculate the basis yourself, what PROC to use?"	"The EFFECT statement in some procedures allows the easy construction of model effects.<br><br><font class=dscode>EFFECT spl=SPLINE(var3);</font><br><font class=dscode>MODEL y = var1 var2 spl;</font><br><br> Supported procedures include LOGISTIC, PHREG, GLIMMIX, and GLMSELECT, but not GLM, MIXED, or REG.  If the EFFECT statement isn&apos;t supported or more functionality is needed, PROC TRANSREG can be used."	"The EFFECT statement in some procedures allows the easy construction of model effects.

`EFFECT spl=SPLINE(var3);`
`MODEL y = var1 var2 spl;`

 Supported procedures include LOGISTIC, PHREG, GLIMMIX, and GLMSELECT, but not GLM, MIXED, or REG.  If the EFFECT statement isn't supported or more functionality is needed, PROC TRANSREG can be used."	""	""	""	""	"base"	""	""	"<font class=dscode>splines::bs(x)</font><br><br>This can be done in a formula."	"`splines::bs(x)`

This can be done in a formula."	""	""	"stat"	""	""	"R_include SAS_include R_stat SAS_base"
"DS020374"	"Create a new macro variable that is 1 + some other variable."	"Create a new macro variable that is 1 + some other variable."	"Y"	"What function to use if you need a similar calculation but with floating-point arithmetic or missing values?"	"What function to use if you need a similar calculation but with floating-point arithmetic or missing values?"	"<font class=dscode>%LET myvar = %EVALF(&amp;OLDVAR + 1);</font><br><br>Note that <font class=dscode>%EVALF()</font> can only be used with integers. It&apos;s the function called by %IF and %DO statements to do the evaluation."	"`%LET myvar = %EVALF(&OLDVAR + 1);`

Note that `%EVALF()` can only be used with integers. It's the function called by %IF and %DO statements to do the evaluation."	"Use <font class=dscode>%SYSEVALF</font> for floating point arithmetic or missing values."	"Use `%SYSEVALF` for floating point arithmetic or missing values."	""	""	"base"	""	""	""	""	""	""	"XS"	""	""	"SAS_include R_XS SAS_base"
"DS022891"	"Check if a data set exists."	"Check if a data set exists."	"Y"	""	""	"<font class=dscode>EXIST(dset)</font>, where <font class=dscode>dset</font> may have the libname if needed"	"`EXIST(dset)`, where `dset` may have the libname if needed"	""	""	""	""	"base"	""	""	"<font class=dscode>exists(x)</font><br><br>If you&apos;re going to check if something exists, and then get it if it does, it&apos;s probably best to use <font class=dscode>get0(x)</font>, which returns <font class=dscode>NULL</font> if an object with the name doesn&apos;t exist."	"`exists(x)`

If you're going to check if something exists, and then get it if it does, it's probably best to use `get0(x)`, which returns `NULL` if an object with the name doesn't exist."	""	""	"base"	""	""	"R_include SAS_include R_base SAS_base"
"DS026621"	"Compare two data sets."	"Compare two data sets."	"Y"	"You can assume <font class=dscode>patid</font> is a unique ID on both sets."	"You can assume `patid` is a unique ID on both sets."	"<font class=dscode>PROC COMPARE BASE=set1 COMPARE=set2;</font><br><font class=dscode>  ID patid;</font><br><font class=dscode>RUN;</font>"	"`PROC COMPARE BASE=set1 COMPARE=set2;`
`  ID patid;`
`RUN;`"	""	""	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS037043"	"What are ways to create calls?"	"What are ways to create calls?"	""	"Difference between a function and call routine. Give an example of a pair of functions where the difference is illustrated."	"Difference between a function and call routine. Give an example of a pair of functions where the difference is illustrated."	"Functions return a value that can be used in assignment.<br><br>A CALL routine does creates some side effect but has no need to return a value b/c the thing is already accomplished in the side effect. (I believe it&apos;s not standard to simply return a success/error code.)<br><br>Consider <font class=dscode>SYMGET(var_name)</font>. This returns the value of an environment variable. Compare to <font class=dscode>CALL SYMPUT(var_name, var_value)</font>, which sets the macro variable to the given value.<br><br>There are some similar functions that are both a function and call routine. <font class=dscode>CATS()</font> is a function that concatenates the stripped input variables and returns the result. <font class=dscode>CALL CATS()</font> is a call routine that has similar inputs, but instead of returning a value, the first argument is updated to hold the concatenated result."	"Functions return a value that can be used in assignment.

A CALL routine does creates some side effect but has no need to return a value b/c the thing is already accomplished in the side effect. (I believe it's not standard to simply return a success/error code.)

Consider `SYMGET(var_name)`. This returns the value of an environment variable. Compare to `CALL SYMPUT(var_name, var_value)`, which sets the macro variable to the given value.

There are some similar functions that are both a function and call routine. `CATS()` is a function that concatenates the stripped input variables and returns the result. `CALL CATS()` is a call routine that has similar inputs, but instead of returning a value, the first argument is updated to hold the concatenated result."	""	""	""	""	"base"	""	""	""	""	""	""	"base_low"	""	""	"SAS_include R_base_low SAS_base"
"DS038563"	"Describe how the program data vector behaves when merging and a hard-to-detect bug that can arise."	"Describe how the program data vector behaves when merging and a hard-to-detect bug that can arise."	"Y"	""	""	"The bug is that new programmers might write programs as if all variables in the program data vector are set to missing for each iteration of a data step.<br><br>But, suppose we have a one-to-many merge (<font class=dscode>set1</font> has one record per id value and <font class=dscode>set2</font> has many records). Variables from <font class=dscode>set1</font> are retained in the PDV while processing the BY group. This is a problem if the value of a variable from SET1 is modified (e.g., maybe it is divided in the data step by some constant to rescale the units). Then the first record for the BY group has the correctly rescaled units but the second has the initial value divided by the rescaling constant twice!<br><br>The 2013 MWSUG paper of Lew and Horstman give an example in detail. (See: https://www.mwsug.org/proceedings/2013/BB/MWSUG-2013-BB08.pdf)."	"The bug is that new programmers might write programs as if all variables in the program data vector are set to missing for each iteration of a data step.

But, suppose we have a one-to-many merge (`set1` has one record per id value and `set2` has many records). Variables from `set1` are retained in the PDV while processing the BY group. This is a problem if the value of a variable from SET1 is modified (e.g., maybe it is divided in the data step by some constant to rescale the units). Then the first record for the BY group has the correctly rescaled units but the second has the initial value divided by the rescaling constant twice!

The 2013 MWSUG paper of Lew and Horstman give an example in detail. (See: https://www.mwsug.org/proceedings/2013/BB/MWSUG-2013-BB08.pdf)."	"To get around this, one can not alter input variables in the same step as the merge, which is a sensible practice even without this potential bug. However, this is a bit inconvenient, as there is no automated means to detect whether a variable was altered.<br><br>One could simply do the MERGE in one statement and any further data step processing in the next, but the IN= variables are often useful, so these must be made permanent and passed to the next step if they need to be combined with any variables created through assignment."	"To get around this, one can not alter input variables in the same step as the merge, which is a sensible practice even without this potential bug. However, this is a bit inconvenient, as there is no automated means to detect whether a variable was altered.

One could simply do the MERGE in one statement and any further data step processing in the next, but the IN= variables are often useful, so these must be made permanent and passed to the next step if they need to be combined with any variables created through assignment."	""	""	"base"	""	""	""	""	""	""	"XS"	""	""	"SAS_include R_XS SAS_base"
"DS044807"	"Create a table of nested counts.<br><br>What if you want nested frequencies and also the means of some other variable?"	"Create a table of nested counts.

What if you want nested frequencies and also the means of some other variable?"	""	"Create a complicated table (e.g. row is <font class=dscode>var1</font> nested in <font class=dscode>var2</font> (both categorical, include &apos;Total&apos; row for both), columns are levels of <font class=dscode>var3</font> (categorical) followed by levels of <font class=dscode>var4</font> (categorical) followed by Total (not nested). For each of these levels, present mean(<font class=dscode>var5</font>) and n(<font class=dscode>var5</font>). Format the means to 1 decimal place and counts to 0 decimal places."	"Create a complicated table (e.g. row is `var1` nested in `var2` (both categorical, include 'Total' row for both), columns are levels of `var3` (categorical) followed by levels of `var4` (categorical) followed by Total (not nested). For each of these levels, present mean(`var5`) and n(`var5`). Format the means to 1 decimal place and counts to 0 decimal places."	"<font class=dscode>PROC TABULATE data=myset;</font><br><font class=dscode>  CLASS var1-var4;</font><br><font class=dscode>  VAR var5;</font><br><font class=dscode>  TABLE (var2 all=&apos;Total&apos;)*(var1 all=&apos;Total&apos;),</font><br><font class=dscode>        (var3 var4 all=&apos;Total&apos;)*(var5*(mean=&apos;Mean&apos;*f=8.1 N*f=8.0));</font><br><font class=dscode>RUN;</font> "	"`PROC TABULATE data=myset;`
`  CLASS var1-var4;`
`  VAR var5;`
`  TABLE (var2 all='Total')*(var1 all='Total'),`
`        (var3 var4 all='Total')*(var5*(mean='Mean'*f=8.1 N*f=8.0));`
`RUN;` "	""	""	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
